ts_sec,container,cpu_pct,mem_current_kb,mem_peak_kb,io_rbytes,io_wbytes
1780870115,perf_baseline,100.87,6588,7344,0,0
1780870116,perf_baseline,100.58,6584,7344,0,0
1780870117,perf_baseline,101.16,6588,7352,0,0
1780870118,perf_baseline,100.95,6588,7352,0,0
1780870119,perf_baseline,129.11,6844,9332,0,0
1780870120,perf_baseline,100.70,6596,9332,0,0
1780870121,perf_baseline,100.49,6592,9332,0,0
1780870122,perf_baseline,100.47,6592,9332,0,0
1780870123,perf_baseline,100.92,6592,9332,0,0
1780870124,perf_baseline,112.42,6888,9844,0,0
1780870125,perf_baseline,100.67,7108,9844,0,0
1780870126,perf_baseline,100.99,6852,9844,0,0
1780870127,perf_baseline,100.85,6856,9844,0,0
1780870128,perf_baseline,101.57,6600,9844,0,0
1780870129,perf_baseline,113.95,6612,10200,0,0
1780870130,perf_baseline,100.49,6860,10200,0,0
1780870131,perf_baseline,100.86,6604,10200,0,0
1780870132,perf_baseline,101.04,6604,10200,0,0
1780870133,perf_baseline,100.86,6864,10200,0,0
1780870134,perf_baseline,100.83,6608,10200,0,0
1780870135,perf_baseline,118.70,6640,10200,0,0
1780870136,perf_baseline,100.55,6864,10200,0,0
1780870138,perf_baseline,100.81,6612,10200,0,0
1780870139,perf_baseline,101.76,6868,10200,0,0
1780870140,perf_baseline,100.99,6868,10200,0,0
1780870141,perf_baseline,118.35,6616,10236,0,0
1780870142,perf_baseline,100.83,6872,10236,0,0
1780870143,perf_baseline,100.77,6616,10236,0,0
