run_id,env,profile,workload,intensity,replica,cpu_pct_avg,mem_rss_avg_kb,io_read_bytes,io_write_bytes,probe_p99_us,throughput,duration_s,timestamp
63,docker,cpu-limit,cpu_stress,1,3,96.01,0,0,0,6024.20,3053,10,1780855999
64,docker,cpu-limit,cpu_stress,1,4,95.84,0,0,0,6828.23,2952,10,1780856010
65,docker,cpu-limit,cpu_stress,1,5,82.85,0,0,0,4318.70,2492,10,1780856021
66,docker,cpu-limit,cpu_stress,1,6,88.68,0,0,0,4234.19,3043,10,1780856032
67,docker,cpu-limit,cpu_stress,1,7,92.39,0,0,0,4646.26,3052,10,1780856043
68,docker,cpu-limit,cpu_stress,1,8,93.32,0,0,0,4449.90,2949,10,1780856054
69,docker,cpu-limit,cpu_stress,1,9,95.51,0,0,0,6170.24,3126,10,1780856065
70,docker,cpu-limit,cpu_stress,1,10,91.31,0,0,0,5543.46,2860,10,1780856076
71,docker,cpu-limit,cpu_stress,1,11,88.42,0,0,0,3780.99,3529,10,1780856090
72,docker,cpu-limit,cpu_stress,1,12,94.90,0,0,0,8692.27,2995,10,1780856102
73,docker,cpu-limit,cpu_stress,1,13,97.07,0,0,0,5156.65,3147,10,1780856113
74,docker,cpu-limit,cpu_stress,1,14,96.73,0,0,0,5788.42,3089,10,1780856124
75,docker,cpu-limit,cpu_stress,1,15,95.42,0,0,0,7637.94,3014,10,1780856134
76,docker,cpu-limit,cpu_stress,1,16,57.86,0,0,0,1583.08,2899,10,1780856145
77,docker,cpu-limit,cpu_stress,1,17,86.72,0,0,0,3026.15,2743,10,1780856156
78,docker,cpu-limit,cpu_stress,1,18,84.22,0,0,0,3222.26,2764,10,1780856167
79,docker,cpu-limit,cpu_stress,1,19,93.44,0,0,0,4724.16,3125,10,1780856178
80,docker,cpu-limit,cpu_stress,1,20,91.45,0,0,0,12462.57,3086,10,1780856189
81,docker,cpu-limit,cpu_stress,1,21,83.38,0,0,0,4409.23,3160,10,1780856201
82,docker,cpu-limit,cpu_stress,1,22,89.75,0,0,0,6817.20,2881,10,1780856212
83,docker,cpu-limit,cpu_stress,1,23,90.29,0,0,0,5132.31,2850,10,1780856223
84,docker,cpu-limit,cpu_stress,1,24,91.57,0,0,0,6070.99,2675,10,1780856234
85,docker,cpu-limit,cpu_stress,1,25,95.51,0,0,0,8204.68,2986,10,1780856245
86,docker,cpu-limit,cpu_stress,1,26,89.23,0,0,0,3882.62,2925,10,1780856256
87,docker,cpu-limit,cpu_stress,1,27,65.11,0,0,0,2052.05,2894,10,1780856268
88,docker,cpu-limit,cpu_stress,1,28,94.98,0,0,0,5236.34,2896,10,1780856279
89,docker,cpu-limit,cpu_stress,1,29,92.27,0,0,0,8712.58,2836,10,1780856290
90,docker,cpu-limit,cpu_stress,1,30,72.96,0,0,0,2404.18,2704,10,1780856301
91,docker,mem-limit,cpu_stress,1,1,99.01,0,0,0,7275.21,3428,10,1780856341
92,docker,mem-limit,cpu_stress,1,2,148.66,0,0,0,5984.44,3460,10,1780856352
93,docker,mem-limit,cpu_stress,1,3,107.18,0,0,0,5978.34,3305,10,1780856363
94,docker,mem-limit,cpu_stress,1,4,100.15,0,0,0,3923.45,3184,10,1780856374
95,docker,mem-limit,cpu_stress,1,5,100.19,0,0,0,6729.40,3102,10,1780856385
96,docker,mem-limit,cpu_stress,1,6,99.78,0,0,0,6116.61,3119,10,1780856396
97,docker,mem-limit,cpu_stress,1,7,106.51,0,0,0,5992.62,3101,10,1780856407
98,docker,mem-limit,cpu_stress,1,8,110.32,0,0,0,4961.77,3383,10,1780856418
99,docker,mem-limit,cpu_stress,1,9,100.15,0,0,0,4585.52,3157,10,1780856429
100,docker,mem-limit,cpu_stress,1,10,100.00,0,0,0,8483.22,3402,10,1780856440
101,docker,mem-limit,cpu_stress,1,11,100.15,0,0,0,5245.95,3147,10,1780856451
102,docker,mem-limit,cpu_stress,1,12,100.06,0,0,0,7076.53,3040,10,1780856462
103,docker,mem-limit,cpu_stress,1,13,99.58,0,0,0,6781.41,3286,10,1780856473
104,docker,mem-limit,cpu_stress,1,14,98.32,0,0,0,13566.02,1546,10,1780856484
105,docker,mem-limit,cpu_stress,1,15,99.61,0,0,0,14615.63,1160,10,1780856499
106,docker,mem-limit,cpu_stress,1,16,96.54,0,0,0,13937.32,1202,10,1780856513
107,docker,mem-limit,cpu_stress,1,17,94.71,0,0,0,13931.03,1208,10,1780856528
108,docker,mem-limit,cpu_stress,1,18,98.63,0,0,0,12642.18,1230,10,1780856542
109,docker,mem-limit,cpu_stress,1,19,98.04,0,0,0,17048.17,1197,10,1780856558
110,docker,mem-limit,cpu_stress,1,20,98.19,0,0,0,12867.68,1374,10,1780856572
111,docker,mem-limit,cpu_stress,1,21,98.44,0,0,0,13474.91,1243,10,1780856588
112,docker,mem-limit,cpu_stress,1,22,99.98,0,0,0,9823.28,1463,10,1780856603
113,docker,mem-limit,cpu_stress,1,23,95.91,0,0,0,13689.51,1303,10,1780856617
114,docker,mem-limit,cpu_stress,1,24,99.99,0,0,0,10681.22,2004,10,1780856631
115,docker,mem-limit,cpu_stress,1,25,97.60,0,0,0,9238.82,2415,10,1780856643
116,docker,mem-limit,cpu_stress,1,26,98.95,0,0,0,7593.64,2479,10,1780856655
117,docker,mem-limit,cpu_stress,1,27,91.91,0,0,0,8127.87,2732,10,1780856667
118,docker,mem-limit,cpu_stress,1,28,99.04,0,0,0,7318.24,2505,10,1780856678
119,docker,mem-limit,cpu_stress,1,29,99.98,0,0,0,7442.37,3074,10,1780856690
