workload,intensity,mode,replica,throughput,cpu_pct_avg
cpu_stress,1,with_sampler,1,1180,97.43
cpu_stress,1,no_sampler,1,2487,0
cpu_stress,1,with_sampler,2,2549,98.79
cpu_stress,1,no_sampler,2,3060,0
cpu_stress,1,with_sampler,3,2639,98.54
cpu_stress,1,no_sampler,3,3139,0
cpu_stress,1,with_sampler,4,2736,98.65
cpu_stress,1,no_sampler,4,2480,0
cpu_stress,1,with_sampler,5,2703,98.80
cpu_stress,1,no_sampler,5,2859,0
cpu_stress,1,no_sampler,6,2918,0
cpu_stress,1,with_sampler,6,2717,98.75
cpu_stress,1,with_sampler,7,2787,98.87
cpu_stress,1,no_sampler,7,2808,0
cpu_stress,1,with_sampler,8,2375,98.70
cpu_stress,1,no_sampler,8,2648,0
cpu_stress,1,no_sampler,9,2930,0
cpu_stress,1,with_sampler,9,2799,98.76
cpu_stress,1,no_sampler,10,2773,0
cpu_stress,1,with_sampler,10,2671,98.84
cpu_stress,1,no_sampler,11,2975,0
cpu_stress,1,with_sampler,11,2516,98.73
cpu_stress,1,no_sampler,12,2433,0
cpu_stress,1,with_sampler,12,2627,98.62
cpu_stress,1,no_sampler,13,2862,0
cpu_stress,1,with_sampler,13,2805,98.70
cpu_stress,1,with_sampler,14,2848,98.85
cpu_stress,1,no_sampler,14,3113,0
cpu_stress,1,no_sampler,15,2816,0
cpu_stress,1,with_sampler,15,2277,98.83
cpu_stress,1,with_sampler,16,2664,98.90
cpu_stress,1,no_sampler,16,3007,0
cpu_stress,1,no_sampler,17,3165,0
cpu_stress,1,with_sampler,17,2721,98.70
cpu_stress,1,with_sampler,18,2861,98.71
cpu_stress,1,no_sampler,18,3046,0
cpu_stress,1,no_sampler,19,2455,0
cpu_stress,1,with_sampler,19,2716,98.85
cpu_stress,1,with_sampler,20,2859,98.90
cpu_stress,1,no_sampler,20,3055,0
cpu_stress,1,with_sampler,21,2852,98.62
cpu_stress,1,no_sampler,21,3062,0
cpu_stress,1,no_sampler,22,2948,0
cpu_stress,1,with_sampler,22,2374,98.74
cpu_stress,1,no_sampler,23,2884,0
cpu_stress,1,with_sampler,23,2741,98.82
cpu_stress,1,no_sampler,24,2973,0
cpu_stress,1,with_sampler,24,2483,98.53
cpu_stress,1,with_sampler,25,2554,98.84
cpu_stress,1,no_sampler,25,3091,0
cpu_stress,1,no_sampler,26,2593,0
cpu_stress,1,with_sampler,26,2384,98.63
cpu_stress,1,no_sampler,27,3168,0
cpu_stress,1,with_sampler,27,2770,98.78
cpu_stress,1,no_sampler,28,3028,0
cpu_stress,1,with_sampler,28,2879,98.79
cpu_stress,1,with_sampler,29,2851,98.69
cpu_stress,1,no_sampler,29,2797,0
cpu_stress,1,no_sampler,30,2725,0
cpu_stress,1,with_sampler,30,2717,98.78
cpu_stress,2,no_sampler,1,613,0
cpu_stress,2,with_sampler,1,486,98.69
cpu_stress,2,with_sampler,2,573,98.68
cpu_stress,2,no_sampler,2,650,0
cpu_stress,2,no_sampler,3,644,0
cpu_stress,2,with_sampler,3,587,98.58
cpu_stress,2,no_sampler,4,630,0
cpu_stress,2,with_sampler,4,582,98.80
cpu_stress,2,with_sampler,5,467,98.79
cpu_stress,2,no_sampler,5,552,0
cpu_stress,2,no_sampler,6,630,0
cpu_stress,2,with_sampler,6,449,98.12
cpu_stress,2,with_sampler,7,457,98.38
cpu_stress,2,no_sampler,7,428,0
cpu_stress,2,no_sampler,8,441,0
cpu_stress,2,with_sampler,8,441,98.89
cpu_stress,2,no_sampler,9,523,0
cpu_stress,2,with_sampler,9,537,98.88
cpu_stress,2,with_sampler,10,617,98.91
cpu_stress,2,no_sampler,10,610,0
cpu_stress,2,no_sampler,11,591,0
cpu_stress,2,with_sampler,11,633,98.67
cpu_stress,2,no_sampler,12,595,0
cpu_stress,2,with_sampler,12,601,98.87
cpu_stress,2,no_sampler,13,698,0
cpu_stress,2,with_sampler,13,660,98.86
cpu_stress,2,no_sampler,14,644,0
cpu_stress,2,with_sampler,14,647,98.72
cpu_stress,2,with_sampler,15,671,98.78
cpu_stress,2,no_sampler,15,588,0
cpu_stress,2,with_sampler,16,533,98.75
cpu_stress,2,no_sampler,16,682,0
cpu_stress,2,no_sampler,17,654,0
cpu_stress,2,with_sampler,17,628,98.84
cpu_stress,2,with_sampler,18,630,98.85
cpu_stress,2,no_sampler,18,667,0
cpu_stress,2,with_sampler,19,567,99.01
cpu_stress,2,no_sampler,19,501,0
cpu_stress,2,no_sampler,20,674,0
cpu_stress,2,with_sampler,20,656,98.82
cpu_stress,2,no_sampler,21,660,0
cpu_stress,2,with_sampler,21,617,98.74
cpu_stress,2,no_sampler,22,658,0
cpu_stress,2,with_sampler,22,631,98.77
cpu_stress,2,with_sampler,23,500,98.56
cpu_stress,2,no_sampler,23,652,0
cpu_stress,2,with_sampler,24,627,98.70
cpu_stress,2,no_sampler,24,703,0
cpu_stress,2,with_sampler,25,650,98.87
cpu_stress,2,no_sampler,25,652,0
cpu_stress,2,no_sampler,26,680,0
cpu_stress,2,with_sampler,26,503,98.62
cpu_stress,2,with_sampler,27,555,98.15
cpu_stress,2,no_sampler,27,661,0
cpu_stress,2,no_sampler,28,608,0
cpu_stress,2,with_sampler,28,634,98.76
cpu_stress,2,no_sampler,29,664,0
cpu_stress,2,with_sampler,29,643,98.94
cpu_stress,2,with_sampler,30,534,98.69
cpu_stress,2,no_sampler,30,596,0
mem_stress,1,no_sampler,1,47,0
mem_stress,1,with_sampler,1,44,0
mem_stress,1,with_sampler,2,42,0
mem_stress,1,no_sampler,2,46,0
mem_stress,1,with_sampler,3,46,0
mem_stress,1,no_sampler,3,45,0
mem_stress,1,with_sampler,4,42,0
mem_stress,1,no_sampler,4,45,0
mem_stress,1,with_sampler,5,43,0
mem_stress,1,no_sampler,5,41,0
mem_stress,1,with_sampler,6,45,0
mem_stress,1,no_sampler,6,44,0
mem_stress,1,with_sampler,7,44,0
mem_stress,1,no_sampler,7,47,0
mem_stress,1,with_sampler,8,44,0
