workload,intensity,mode,replica,throughput,cpu_pct_avg
mem_stress,1,no_sampler,8,45,0
mem_stress,1,no_sampler,9,42,0
mem_stress,1,with_sampler,9,45,0
mem_stress,1,with_sampler,10,45,0
mem_stress,1,no_sampler,10,46,0
mem_stress,1,with_sampler,11,44,0
mem_stress,1,no_sampler,11,45,0
mem_stress,1,with_sampler,12,46,0
mem_stress,1,no_sampler,12,41,0
mem_stress,1,with_sampler,13,42,0
mem_stress,1,no_sampler,13,47,0
mem_stress,1,no_sampler,14,46,0
mem_stress,1,with_sampler,14,45,0
mem_stress,1,no_sampler,15,47,0
mem_stress,1,with_sampler,15,40,0
mem_stress,1,no_sampler,16,42,0
mem_stress,1,with_sampler,16,42,0
mem_stress,1,no_sampler,17,45,0
mem_stress,1,with_sampler,17,45,0
mem_stress,1,no_sampler,18,37,0
mem_stress,1,with_sampler,18,42,0
mem_stress,1,with_sampler,19,44,0
mem_stress,1,no_sampler,19,42,0
mem_stress,1,with_sampler,20,41,0
mem_stress,1,no_sampler,20,46,0
mem_stress,1,no_sampler,21,45,0
mem_stress,1,with_sampler,21,43,0
mem_stress,1,no_sampler,22,46,0
mem_stress,1,with_sampler,22,46,0
mem_stress,1,with_sampler,23,44,0
mem_stress,1,no_sampler,23,42,0
mem_stress,1,no_sampler,24,45,0
mem_stress,1,with_sampler,24,44,0
mem_stress,1,no_sampler,25,45,0
mem_stress,1,with_sampler,25,43,0
mem_stress,1,no_sampler,26,45,0
mem_stress,1,with_sampler,26,46,0
mem_stress,1,with_sampler,27,40,0
mem_stress,1,no_sampler,27,43,0
mem_stress,1,no_sampler,28,46,0
mem_stress,1,with_sampler,28,44,0
mem_stress,1,with_sampler,29,45,0
mem_stress,1,no_sampler,29,46,0
mem_stress,1,with_sampler,30,45,0
mem_stress,1,no_sampler,30,41,0
mem_stress,2,no_sampler,1,13,0
mem_stress,2,with_sampler,1,12,0
mem_stress,2,no_sampler,2,11,0
mem_stress,2,with_sampler,2,12,0
mem_stress,2,no_sampler,3,12,0
mem_stress,2,with_sampler,3,11,0
mem_stress,2,with_sampler,4,12,0
mem_stress,2,no_sampler,4,13,0
mem_stress,2,no_sampler,5,13,0
mem_stress,2,with_sampler,5,12,0
mem_stress,2,with_sampler,6,12,0
mem_stress,2,no_sampler,6,12,0
mem_stress,2,with_sampler,7,12,0
mem_stress,2,no_sampler,7,13,0
mem_stress,2,with_sampler,8,12,0
mem_stress,2,no_sampler,8,11,0
mem_stress,2,no_sampler,9,10,0
mem_stress,2,with_sampler,9,12,0
mem_stress,2,no_sampler,10,13,0
mem_stress,2,with_sampler,10,13,0
mem_stress,2,no_sampler,11,13,0
mem_stress,2,with_sampler,11,13,0
mem_stress,2,with_sampler,12,13,0
mem_stress,2,no_sampler,12,11,0
mem_stress,2,with_sampler,13,11,0
mem_stress,2,no_sampler,13,13,0
mem_stress,2,with_sampler,14,13,0
mem_stress,2,no_sampler,14,13,0
mem_stress,2,no_sampler,15,13,0
mem_stress,2,with_sampler,15,13,0
mem_stress,2,with_sampler,16,12,0
mem_stress,2,no_sampler,16,13,0
mem_stress,2,no_sampler,17,13,0
mem_stress,2,with_sampler,17,13,0
mem_stress,2,no_sampler,18,13,0
mem_stress,2,with_sampler,18,13,0
mem_stress,2,with_sampler,19,13,0
mem_stress,2,no_sampler,19,12,0
mem_stress,2,no_sampler,20,13,0
mem_stress,2,with_sampler,20,13,0
mem_stress,2,with_sampler,21,13,0
mem_stress,2,no_sampler,21,13,0
mem_stress,2,no_sampler,22,13,0
mem_stress,2,with_sampler,22,13,0
mem_stress,2,with_sampler,23,12,0
mem_stress,2,no_sampler,23,12,0
mem_stress,2,with_sampler,24,12,0
mem_stress,2,no_sampler,24,13,0
mem_stress,2,with_sampler,25,12,0
mem_stress,2,no_sampler,25,12,0
mem_stress,2,with_sampler,26,12,0
mem_stress,2,no_sampler,26,11,0
mem_stress,2,with_sampler,27,12,0
mem_stress,2,no_sampler,27,12,0
mem_stress,2,no_sampler,28,13,0
mem_stress,2,with_sampler,28,12,0
mem_stress,2,with_sampler,29,12,0
mem_stress,2,no_sampler,29,6,0
mem_stress,2,no_sampler,30,10,0
mem_stress,2,with_sampler,30,11,0
io_stress,1,no_sampler,1,37,0
io_stress,1,with_sampler,1,23,0
io_stress,1,no_sampler,2,38,0
io_stress,1,with_sampler,2,30,0
io_stress,1,with_sampler,3,26,0
io_stress,1,no_sampler,3,43,0
io_stress,1,no_sampler,4,45,0
io_stress,1,with_sampler,4,27,0
io_stress,1,no_sampler,5,41,0
io_stress,1,with_sampler,5,24,0
io_stress,1,with_sampler,6,28,0
io_stress,1,no_sampler,6,43,0
io_stress,1,no_sampler,7,41,0
io_stress,1,with_sampler,7,30,0
io_stress,1,no_sampler,8,43,0
io_stress,1,with_sampler,8,29,0
io_stress,1,no_sampler,9,39,0
io_stress,1,with_sampler,9,29,0
io_stress,1,with_sampler,10,30,0
io_stress,1,no_sampler,10,41,0
io_stress,1,no_sampler,11,45,0
io_stress,1,with_sampler,11,30,0
io_stress,1,with_sampler,12,24,0
io_stress,1,no_sampler,12,38,0
io_stress,1,with_sampler,13,30,0
io_stress,1,no_sampler,13,43,0
io_stress,1,with_sampler,14,28,0
io_stress,1,no_sampler,14,47,0
io_stress,1,no_sampler,15,44,0
io_stress,1,with_sampler,15,28,0
io_stress,1,no_sampler,16,44,0
io_stress,1,with_sampler,16,27,0
io_stress,1,no_sampler,17,44,0
io_stress,1,with_sampler,17,30,0
io_stress,1,no_sampler,18,45,0
io_stress,1,with_sampler,18,28,0
io_stress,1,with_sampler,19,29,0
io_stress,1,no_sampler,19,42,0
io_stress,1,with_sampler,20,30,0
io_stress,1,no_sampler,20,38,0
io_stress,1,with_sampler,21,29,0
io_stress,1,no_sampler,21,47,0
io_stress,1,with_sampler,22,29,0
io_stress,1,no_sampler,22,44,0
io_stress,1,no_sampler,23,42,0
io_stress,1,with_sampler,23,29,0
io_stress,1,no_sampler,24,45,0
io_stress,1,with_sampler,24,28,0
io_stress,1,no_sampler,25,45,0
io_stress,1,with_sampler,25,29,0
io_stress,1,with_sampler,26,28,0
io_stress,1,no_sampler,26,26,0
io_stress,1,no_sampler,27,17,0
io_stress,1,with_sampler,27,17,0
io_stress,1,no_sampler,28,21,0
io_stress,1,with_sampler,28,18,0
io_stress,1,with_sampler,29,15,0
io_stress,1,no_sampler,29,16,0
io_stress,1,no_sampler,30,21,0
io_stress,1,with_sampler,30,14,0
io_stress,2,with_sampler,1,6,0
io_stress,2,no_sampler,1,8,0
io_stress,2,no_sampler,2,8,0
io_stress,2,with_sampler,2,5,0
io_stress,2,with_sampler,3,4,0
io_stress,2,no_sampler,3,8,0
io_stress,2,no_sampler,4,8,0
io_stress,2,with_sampler,4,6,0
io_stress,2,no_sampler,5,8,0
io_stress,2,with_sampler,5,6,0
io_stress,2,with_sampler,6,6,0
io_stress,2,no_sampler,6,8,0
io_stress,2,no_sampler,7,6,0
io_stress,2,with_sampler,7,5,0
io_stress,2,with_sampler,8,5,0
io_stress,2,no_sampler,8,6,0
io_stress,2,with_sampler,9,5,0
io_stress,2,no_sampler,9,12,0
io_stress,2,no_sampler,10,14,0
io_stress,2,with_sampler,10,9,0
io_stress,2,with_sampler,11,9,0
io_stress,2,no_sampler,11,12,0
io_stress,2,no_sampler,12,14,0
io_stress,2,with_sampler,12,9,0
io_stress,2,with_sampler,13,10,0
io_stress,2,no_sampler,13,12,0
io_stress,2,with_sampler,14,9,0
io_stress,2,no_sampler,14,14,0
io_stress,2,with_sampler,15,9,0
io_stress,2,no_sampler,15,12,0
io_stress,2,with_sampler,16,10,0
io_stress,2,no_sampler,16,13,0
io_stress,2,with_sampler,17,10,0
io_stress,2,no_sampler,17,13,0
io_stress,2,with_sampler,18,8,0
io_stress,2,no_sampler,18,13,0
io_stress,2,with_sampler,19,9,0
io_stress,2,no_sampler,19,11,0
io_stress,2,with_sampler,20,9,0
io_stress,2,no_sampler,20,8,0
io_stress,2,with_sampler,21,8,0
io_stress,2,no_sampler,21,14,0
io_stress,2,with_sampler,22,9,0
io_stress,2,no_sampler,22,15,0
io_stress,2,with_sampler,23,7,0
io_stress,2,no_sampler,23,14,0
io_stress,2,no_sampler,24,14,0
io_stress,2,with_sampler,24,9,0
io_stress,2,with_sampler,25,9,0
io_stress,2,no_sampler,25,12,0
io_stress,2,no_sampler,26,16,0
io_stress,2,with_sampler,26,8,0
io_stress,2,with_sampler,27,6,0
io_stress,2,no_sampler,27,12,0
io_stress,2,with_sampler,28,9,0
io_stress,2,no_sampler,28,15,0
io_stress,2,no_sampler,29,14,0
io_stress,2,with_sampler,29,9,0
io_stress,2,with_sampler,30,10,0
io_stress,2,no_sampler,30,15,0
