workload,intensity,mode,replica,throughput,cpu_pct_avg
cpu_stress,1,with_sampler,1,3595,98.72
cpu_stress,1,no_sampler,1,3643,0
cpu_stress,1,with_sampler,2,4048,98.46
cpu_stress,1,no_sampler,2,3002,0
cpu_stress,1,with_sampler,3,3978,98.38
cpu_stress,1,no_sampler,3,3040,0
cpu_stress,1,no_sampler,4,3649,0
cpu_stress,1,with_sampler,4,4095,98.49
cpu_stress,1,with_sampler,5,4222,98.74
cpu_stress,1,no_sampler,5,3437,0
cpu_stress,1,with_sampler,6,4166,98.58
cpu_stress,1,no_sampler,6,3540,0
cpu_stress,1,with_sampler,7,3640,98.64
cpu_stress,1,no_sampler,7,3508,0
cpu_stress,1,no_sampler,8,3617,0
cpu_stress,1,with_sampler,8,4130,98.60
cpu_stress,1,with_sampler,9,3991,98.86
cpu_stress,1,no_sampler,9,3571,0
cpu_stress,1,with_sampler,10,4113,98.79
cpu_stress,1,no_sampler,10,3571,0
cpu_stress,1,with_sampler,11,4280,98.78
cpu_stress,1,no_sampler,11,3718,0
cpu_stress,1,with_sampler,12,4190,98.65
cpu_stress,1,no_sampler,12,3695,0
cpu_stress,1,with_sampler,13,4166,98.51
cpu_stress,1,no_sampler,13,3686,0
cpu_stress,1,with_sampler,14,4184,98.70
cpu_stress,1,no_sampler,14,3736,0
cpu_stress,1,no_sampler,15,3531,0
cpu_stress,1,with_sampler,15,4183,98.56
cpu_stress,1,no_sampler,16,3725,0
cpu_stress,1,with_sampler,16,4085,98.73
cpu_stress,1,no_sampler,17,3816,0
cpu_stress,1,with_sampler,17,3885,98.75
cpu_stress,1,with_sampler,18,4105,98.77
cpu_stress,1,no_sampler,18,3634,0
cpu_stress,1,no_sampler,19,3616,0
cpu_stress,1,with_sampler,19,4039,98.61
cpu_stress,1,no_sampler,20,3779,0
cpu_stress,1,with_sampler,20,4130,98.46
cpu_stress,1,no_sampler,21,3651,0
cpu_stress,1,with_sampler,21,4334,98.42
cpu_stress,1,no_sampler,22,3984,0
cpu_stress,1,with_sampler,22,4251,98.66
cpu_stress,1,with_sampler,23,4430,98.59
cpu_stress,1,no_sampler,23,3877,0
cpu_stress,1,with_sampler,24,4127,98.63
cpu_stress,1,no_sampler,24,3923,0
cpu_stress,1,with_sampler,25,4492,98.54
cpu_stress,1,no_sampler,25,3957,0
cpu_stress,1,no_sampler,26,4009,0
cpu_stress,1,with_sampler,26,4513,98.92
cpu_stress,1,no_sampler,27,3863,0
cpu_stress,1,with_sampler,27,4290,98.67
cpu_stress,1,no_sampler,28,3994,0
cpu_stress,1,with_sampler,28,4507,98.57
cpu_stress,1,with_sampler,29,4065,98.89
cpu_stress,1,no_sampler,29,3920,0
cpu_stress,1,no_sampler,30,3916,0
cpu_stress,1,with_sampler,30,4500,98.59
